lineage,theme,n,tension_g0,tension_g1,d_tension,symbol_g0,symbol_g1,d_symbol,rhythm_g0,rhythm_g1,d_rhythm,C_g0,C_g1,d_C,entropy_g0,rhyme_g0,entropy_g1,rhyme_g1,d_entropy,d_rhyme
t1a,autumn departure,2,5.5,6.0,0.5,6.0,6.5,0.5,6.0,6.0,0.0,0.19322339239004394,0.4249691001551758,0.23174570776513187,1.4274024121196731,0.0028718133701199,1.4645925293547168,0.0038383789982668,0.03719011723504373,0.0009665656281468999
t1b,autumn departure,2,5.5,6.5,1.0,6.0,6.0,0.0,6.0,6.0,0.0,0.19322339239004394,0.4295435804073772,0.2363201880173333,1.506062120920308,0.0036013003883319,1.561864861113791,0.0031736802262704,0.05580274019348308,-0.00042762016206150015
t2a,urban night solitude,2,6.0,6.5,0.5,5.5,6.5,1.0,6.0,6.0,0.0,0.19729477026876482,0.5362185169341761,0.33892374666541125,1.3840704560057393,0.004328469214176,1.4457943065739574,0.002530210956079,0.06172385056821805,-0.0017982582580969996
t2b,urban night solitude,2,5.5,6.5,1.0,5.5,6.5,1.0,6.5,6.5,0.0,0.1863278041845927,0.6340741147877272,0.4477463106031345,1.438269639092697,0.0031117310738027,1.4374842015877505,0.0025372788578079,-0.000785437504946529,-0.0005744522159948002
t3a,memory and water,2,6.0,7.0,1.0,6.5,7.0,0.5,6.0,6.5,0.5,0.4249691001551758,0.8136721958154073,0.3887030956602315,1.62897085499442,0.004545414351815,1.5893805923781317,0.0035170328949192,-0.039590262616288285,-0.0010283814568958
t3b,memory and water,2,6.5,6.5,0.0,6.5,7.0,0.5,6.5,7.0,0.5,0.6340741147877272,0.8027052297312355,0.16863111494350824,1.5471032138237135,0.0033414371390074,1.665191379814698,0.0031152023100427,0.11808816599098448,-0.0002262348289646999
