lineage,theme,variant,entropy_mean_g0,entropy_mean_g1,d_entropy,rhyme_share_mean_g0,rhyme_share_mean_g1,d_rhyme,late_entropy_mean_g0,late_entropy_mean_g1,late_rhyme_share_mean_g0,late_rhyme_share_mean_g1,rhyme_coverage_g0,rhyme_coverage_g1,phoneme_agree_pairs_g0,phoneme_agree_pairs_g1
t1a,autumn departure,a,1.4274024121196731,1.4645925293547168,0.03719011723504373,0.0028718133701199,0.0038383789982668,0.0009665656281468999,0.5969371002427731,0.6508471763528073,0.0013470797525655,0.002251122458849,1.0,1.0,6,7
t1b,autumn departure,b,1.506062120920308,1.561864861113791,0.05580274019348308,0.0036013003883319,0.0031736802262704,-0.00042762016206150015,0.5874800176070399,0.6833958459508981,0.0014667117773492,0.0016117087909015,1.0,1.0,6,6
t2a,urban night solitude,a,1.3840704560057393,1.4457943065739574,0.06172385056821805,0.004328469214176,0.002530210956079,-0.0017982582580969996,0.5280580810167068,0.5768707034759384,0.0018739872833908,0.0010073648047995,1.0,1.0,7,7
t2b,urban night solitude,b,1.438269639092697,1.4374842015877505,-0.000785437504946529,0.0031117310738027,0.0025372788578079,-0.0005744522159948002,0.5815883763980152,0.6177883533677194,0.0016726574487758,0.0015383780404918,1.0,1.0,7,7
t3a,memory and water,a,1.62897085499442,1.5893805923781317,-0.039590262616288285,0.004545414351815,0.0035170328949192,-0.0010283814568958,0.7871258657151619,0.701462422452517,0.0018128997355239,0.0015774945705057,1.0,0.9285714285714286,7,5
t3b,memory and water,b,1.5471032138237135,1.665191379814698,0.11808816599098448,0.0033414371390074,0.0031152023100427,-0.0002262348289646999,0.7554165546935356,0.7034106477137734,0.0015982278252653,0.00103330388475,0.9285714285714286,0.9285714285714286,5,5
