poem_id,theme,variant,n_tokens,n_lines,entropy_mean,entropy_median,rhyme_share_mean,rhyme_share_median,late_entropy_mean,late_rhyme_share_mean,rhyme_coverage,phoneme_agree_pairs,phoneme_pair_total,embed_line_final_var_mean,mid_line_final_var_mean,last_line_final_var_mean,last_line_final_mean_norm
gen0_t1a,autumn departure,a,144,14,1.4274024121196731,1.5324412273751653,0.0028718133701199173,0.0013834040517161402,0.5969371002427731,0.0013470797525655758,1.0,6,7,0.0007544403247779309,1.1032624489939238,2.854810713723878,97.5811891733973
gen0_t1b,autumn departure,b,148,14,1.506062120920308,1.6448209653794272,0.003601300388331944,0.0013150272775944425,0.5874800176070399,0.0014667117773492224,1.0,6,7,0.0007437266982394498,1.1084012268173387,3.5332634848008837,102.65363485108413
gen0_t2a,urban night solitude,a,135,14,1.3840704560057393,1.4983679841935187,0.004328469214176063,0.0017702477920426192,0.5280580810167068,0.0018739872833908222,1.0,7,7,0.000700061930291395,1.1382267756543485,3.0101733849899945,94.00302582509701
gen0_t2b,urban night solitude,b,145,14,1.438269639092697,1.4323009103081485,0.003111731073802708,0.001640728684966172,0.5815883763980152,0.0016726574487758088,1.0,7,7,0.0007375395840057418,1.1459333462791987,2.8231395900845535,94.61998123428911
gen0_t3a,memory and water,a,150,14,1.62897085499442,1.8080374803466985,0.004545414351815069,0.003404353861458884,0.7871258657151619,0.0018128997355239043,1.0,7,7,0.0007504180332854448,1.1438994940977216,2.6293310163549934,98.74244916588307
gen0_t3b,memory and water,b,157,14,1.5471032138237137,1.6895705510730386,0.0033414371390074007,0.0017752869410273063,0.7554165546935356,0.0015982278252653567,0.9285714285714286,5,7,0.000787155963817094,1.2522351141772168,3.1876943848808423,99.92503225048274
